103102 - 0 for period 135 to 137
103102, 135, Brought Forward Balance,,,,279282
103102,135, Payment - GL,277,01/03/2011,,30000,Minaeli Tippe - Haydom safari all. pv1439,
103102,136, Payment - GL,313,16/04/2011,,46000,Onesmo Ibrahim - Diesel for car T. 732 AFS, Pv1474,
103102,136, Receipt,392,16/04/2011,,600,Opd &amp; Ipd - Amount overstated from rv12458,
103102,136, Payment - GL,314,17/04/2011,,100000,Katesh Agip service station - Diesel for car T 732 AFS, Pv1475,
103102,136, Receipt,213,18/04/2011,252250,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12459,
103102,136, Payment - GL,315,18/04/2011,,36800,Minaeli Tippe - Doctors visit day expenses, Pv1476,
103102,136, Receipt,215,20/04/2011,220850,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12460,
103102,136, Payment - GL,316,20/04/2011,,57000,TANESCO - April 2011 Electricity bill, Pv1477,
103102,136, Payment - GL,317,21/04/2011,,130000,Njake Enterprissed Ltd - Diesel for car T. 732 AFS, Pv1478,
103102,136, Receipt,217,22/04/2011,185550,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12461,
103102,136, Receipt,219,24/04/2011,137600,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12462,
103102,136, Receipt,221,26/04/2011,135350,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12463,
103102,136, Payment - GL,318,26/04/2011,,3000,Onesmo Ibrahim - One dozen of exercise book, Pv1479,
103102,136, Receipt,395,28/04/2011,193050,,Opd &amp; Ipd - Patient fees &amp; Amb. Income, rv12464,
103102,136, Payment - GL,319,29/04/2011,,63900,Njake Enterprissed Ltd - Diesel for car T. 732 AFS, Pv1480,
103102,136, Payment - GL,320,30/04/2011,,135000,Ezekieli Marko - Febr  2011 Wage Pv1481,
103102,136, Payment - GL,321,30/04/2011,,70000,Joseph Matias - April 2011 wages pv1482,
103102,136, Payment - GL,322,30/04/2011,,288710,Maria Mwondeya - April 2011 Wage Pv1483,
103102,136, Payment - GL,323,30/04/2011,,1604620,BLHC - April 2011 salary, Pv1488,
103102,136, Receipt,404,30/04/2011,192850,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12465,
103102, 136, Period Total,,,,108140
103102,137, Receipt,230,01/05/2011,7800,,Simon, Minael &amp; Lameck - Electy income, rv12466,
103102,137, Payment - GL,324,01/05/2011,,46000,Onesmo Ibrahim - Diesel for car T. 732 AFS, Pv1489,
103102,137, Payment - GL,325,01/05/2011,,20000,Fanueli S. &amp; Lindaeli Bayo - Haydom safari all. Pv1490,
103102,137, Receipt,231,02/05/2011,201650,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12467,
103102,137, Payment - GL,326,03/05/2011,,41000,Minaeli Tippe - Haydom safari bus fare &amp; all. Pv11491,
103102,137, Receipt,234,04/05/2011,219550,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12468,
103102,137, Payment - GL,327,04/05/2011,,130000,Njake Enterprissed Ltd - Diesel for car T. 732 AFS, Pv1492,
103102,137, Payment - GL,328,05/05/2011,,20000,Fanuel Simjan - haydom safari all. Pv1493,
103102,137, Receipt,237,06/05/2011,186100,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12469,
103102,137, Payment - GL,329,06/05/2011,,31000,Julias Samu - Sabuni ya unga, Pv1494,
103102,137, Receipt,238,08/05/2011,23700,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12470,
103102,137, Receipt,239,10/05/2011,240900,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12471,
103102,137, Receipt,240,12/05/2011,229100,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12472,
103102,137, Receipt,243,14/05/2011,166250,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12473,
103102,137, Payment - GL,330,14/05/2011,,122427,Joel Traders Ltd - Diesel for car T. 732 AFS, Pv1495,
103102,137, Payment - GL,331,14/05/2011,,20000,Simon L &amp; Fanuel S. - Haydom Safari allowance, Pv1496,
103102,137, Receipt,247,16/05/2011,390650,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12474,
103102,137, Payment - GL,332,16/05/2011,,36000,Minaeli Tippe - Doctors visit day expenses, Pv1497,
103102,137, Payment - GL,333,17/05/2011,,10000,Fanuel Simjan - haydom safari all. Pv1498,
103102,137, Receipt,250,18/05/2011,194050,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12475,
103102,137, Payment - GL,334,19/05/2011,,12000,Fanuel S. &amp; Minaeli Tippe - Safari allowance, Pv1499,
103102,137, Payment - GL,335,19/05/2011,,51000,TANESCO - May 2011 Electricity bill, Pv1500,
103102,137, Payment - GL,336,19/05/2011,,100000,Njake Enterprissed Ltd - Diesel for car T. 732 AFS, Pv1501,
103102,137, Receipt,252,20/05/2011,174400,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12476,
103102,137, Payment - GL,337,20/05/2011,,48000,Population services International - purchase of medicine, Pv1502,
103102,137, Receipt,255,22/05/2011,200200,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12477,
103102,137, Receipt,257,24/05/2011,252400,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12478,
103102,137, Payment - GL,338,24/05/2011,,30000,Onesmo Ibrahim - Kerosine, Daftari &amp; ABC battery Pv1503,
103102,137, Receipt,259,26/05/2011,51200,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12479,
103102,137, Receipt,261,26/05/2011,72600,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12480,
103102,137, Payment - GL,339,27/05/2011,,7500,Umbu N. Martin - Taa, Pv1504,
103102,137, Payment - GL,340,27/05/2011,,22300,Njake Enterprissed Ltd - Diesel for car T. 732 AFS, Pv1505,
103102,137, Payment - GL,341,28/05/2011,,48000,Onesmo Ibrahim - Diesel for car T. 732 AFS, Pv1506,
103102,137, Receipt,227,30/05/2011,192850,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12465,
103102,137, Receipt,403,30/05/2011,,192850,Opd/IPD - Patient fees &amp; Amb. Income, Rv12465 corr,
103102,137, Receipt,262,31/05/2011,158800,,Opd/IPD - Patient fees &amp; Amb. Income, Rv12481,
103102,137, Receipt,264,31/05/2011,8600,,Simon, Minael &amp; Lameck - Electy income, rv12482,
103102,137, Payment - GL,343,31/05/2011,,135000,Ezekieli Marko - May  2011 Wage Pv1508,
103102,137, Payment - GL,344,31/05/2011,,288710,Maria Mwondeya - May 2011 Wage Pv1509,
103102,137, Payment - GL,345,31/05/2011,,1604620,BLHC - May 2011 staff salary, Pv1510,
103102,137, Payment - GL,496,31/05/2011,,70000,Joseph Matias - May. 2011 wages pv1507,
103102, 137, Period Total,,,,115607
103102,137, Balance C/Fwd,,,,337329
